Centre ID,Zonal IIT,Centre Name,City
4038,IIT Kanpur,Shri S N Technologies,Kanpur
4039,IIT Kanpur,UNZIP TECHNOLOGY LLP.,Kanpur
4040,IIT Kanpur,iON Digital Zone iDZ 1 Hathipur,Kanpur
4041,IIT Kanpur,iON Digital Zone iDZ 2 Hathipur,Kanpur
4042,IIT Kanpur,iON Digital Zone iDZ 1 Bhauti,Kanpur
4043,IIT Kanpur,iON Digital Zone iDZ Azad Puram,Lucknow
4044,IIT Kanpur,iON Digital Zone iDZ Prabandh Nagar,Lucknow
4045,IIT Kanpur,iON Digital Zone iDZ Omaxe City,Lucknow
4046,IIT Kanpur,Our Little Angels Home,Lucknow
4047,IIT Kanpur,BR Online Services,Lucknow
4048,IIT Kanpur,Sultan Foundation,Lucknow
4049,IIT Kanpur,iON Digital Zone iDZ Sector-9B Vrindawan Colony,Lucknow
4050,IIT Kanpur,Yuvi Online Solutions,Lucknow
4051,IIT Kanpur,Sinco Learning Center,Lucknow
4052,IIT Kanpur,Pawan Online Solutions,Lucknow
4053,IIT Kanpur,City Law College,Lucknow
4054,IIT Kanpur,BDR Info Solutions LLP,Lucknow
4055,IIT Kanpur,Om Infotech Solutions,Lucknow
4056,IIT Kanpur,Metro Network Solutions,Lucknow
4057,IIT Kanpur,i-Tech Zone,Prayagraj
4058,IIT Kanpur,S.P. Education Institute of IT & Management,Prayagraj
4059,IIT Kanpur,Shambhunath Institute of Engineering and Tech- nology - Mac,Prayagraj
4060,IIT Kanpur,B.B.S. Group of Institutions,Prayagraj
4061,IIT Kanpur,AIIT and Management College Jhunsi,Prayagraj
4062,IIT Kanpur,Campus 2 AIIT Management College,Prayagraj
4063,IIT Kanpur,Indian Institute Of Computer Education - CEN- TER 2,Prayagraj
4064,IIT Kanpur,Shri Ganesh College of IT & Management,Prayagraj
4065,IIT Kanpur,Dr. Ghanshyam Singh College of Education,Varanasi
4066,IIT Kanpur,Dewa Mahila Mahavidyalaya,Varanasi
4067,IIT Kanpur,Purnodaya Mahila Mahavidyalaya,Varanasi
4068,IIT Kanpur,Digitrack IT Services,Varanasi
4069,IIT Kanpur,IHNC Mahaveer Bazar,Varanasi
4070,IIT Kanpur,Arya Mahila PG College,Varanasi
4071,IIT Kanpur,OCBT IT services,Varanasi
4072,IIT Kanpur,JeevanDeep Institute of Management & Technol- ogy,Varanasi
4073,IIT Kanpur,iON Digital Zone iDZ Harahuwa Chauraha,Varanasi
4074,IIT Kanpur,iON Digital Zone iDZ Ayar Bazar,Varanasi
4075,IIT Kanpur,Institute of Hardware Networking and Communi- cation Center Sarnath,Varanasi
4076,IIT Kanpur,Gyanada Institute of Computer Training,Varanasi
4077,IIT Kanpur,Vidya Institute of Information Technology,Varanasi
4078,IIT Kanpur,SRS Digital Institute,Ayodhya
4079,IIT Kanpur,Narayana Infotech Ayodhya 
5001,IIT Bhubaneswar,SIS COMPUTER EDUCATION,Port Blair
5002,IIT Bhubaneswar,CORE TECHNOLOGIES,Srikakulam
5003,IIT Bhubaneswar,Sri Venkateswara College of Engineering & Technology,Srikakulam
5004,IIT Bhubaneswar,Sri Sivani College of Engineering,Srikakulam
5005,IIT Bhubaneswar,iON Digital Zone iDZ Sheela Nagar,Visakhapatnam
5006,IIT Bhubaneswar,iON Digital Zone iDZ 2 Chinamushidiwada 1,Visakhapatnam
5007,IIT Bhubaneswar,iON Digital Zone iDZ 2 Chinamushidiwada 2,Visakhapatnam
5008,IIT Bhubaneswar,iON Digital Zone iDZ 1 Chinamushidiwada,Visakhapatnam
5009,IIT Bhubaneswar,ADZ Arowana Digital Zone,Visakhapatnam
5010,IIT Bhubaneswar,Xeon Technologies,Visakhapatnam
5011,IIT Bhubaneswar,Vignans Institute of Information Technology,Visakhapatnam
5012,IIT Bhubaneswar,Sanketika Institute of Technology and Management,Visakhapatnam
5013,IIT Bhubaneswar,Nadimpalli Satyanarayana Raju Institute of Technology,Visakhapatnam
5014,IIT Bhubaneswar,Vignans Institute of Engineering for Women,Visakhapatnam
5015,IIT Bhubaneswar,Maharaj Vijayaram Gajapati Raj MVGR College of Engineering,Vizianagaram
5016,IIT Bhubaneswar,iON Digital Zone iDZ Gajularega,Vizianagaram
5017,IIT Bhubaneswar,iON Digital Zone iDZ Sirsakala Bhilai-3 1 Bhilai,Nagar
5018,IIT Bhubaneswar,iON Digital Zone iDZ Sirsakala Bhilai-3 2 Bhilai,Nagar
5019,IIT Bhubaneswar,Mansa College Bhilai,Nagar
5020,IIT Bhubaneswar,iON Digital Zone iDZ Bodri Near high court,Bilaspur
5021,IIT Bhubaneswar,Chouksey Engineering College,Bilaspur
5022,IIT Bhubaneswar,ION Digital Zone iDZ SARONA 1,Raipur
5023,IIT Bhubaneswar,ION Digital Zone iDZ SARONA 2,Raipur
5024,IIT Bhubaneswar,ION DIGITAL ZONE IDZ Dhanbad,Dhanbad
5025,IIT Bhubaneswar,Perth Digital Zone,Dhanbad
5026,IIT Bhubaneswar,iON Digital Zone HAZARIBAGH,Hazaribagh
5027,IIT Bhubaneswar,iON Digital Zone iDZ Jamshedpur,Jamshedpur
